Date_reported,Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
25/03/2021,Mexico,5126,2251468,397,221479
26/03/2021,Mexico,4542,2256010,336,221815
27/03/2021,Mexico,4516,2260526,297,222112
28/03/2021,Mexico,4105,2264631,286,222398
29/03/2021,Mexico,2248,2266879,310,222708
30/03/2021,Mexico,1316,2268195,340,223048
31/03/2021,Mexico,5203,2273398,332,223380
01/04/2021,Mexico,4356,2277754,314,223694
02/04/2021,Mexico,3977,2281731,303,223997
03/04/2021,Mexico,2085,2283816,288,224285
04/04/2021,Mexico,1690,2285506,293,224578
05/04/2021,Mexico,1604,2287110,302,224880
06/04/2021,Mexico,1426,2288536,264,225144
07/04/2021,Mexico,5503,2294039,307,225451
08/04/2021,Mexico,4596,2298635,269,225720
09/04/2021,Mexico,4356,2302991,296,226016
10/04/2021,Mexico,4169,2307160,285,226301
11/04/2021,Mexico,3963,2311123,272,226573
12/04/2021,Mexico,2221,2313344,267,226840
13/04/2021,Mexico,1205,2314549,262,227102
14/04/2021,Mexico,4957,2319506,251,227353
15/04/2021,Mexico,4129,2323635,290,227643
16/04/2021,Mexico,3752,2327387,266,227909
17/04/2021,Mexico,3696,2331083,273,228182
18/04/2021,Mexico,3272,2334355,245,228427
19/04/2021,Mexico,1675,2336030,254,228681
20/04/2021,Mexico,1103,2337133,205,228886
21/04/2021,Mexico,4236,2341369,224,229110
22/04/2021,Mexico,3556,2344925,244,229354
23/04/2021,Mexico,3525,2348450,223,229577
24/04/2021,Mexico,3170,2351620,194,229771
25/04/2021,Mexico,3105,2354725,204,229975
26/04/2021,Mexico,1737,2356462,208,230183
27/04/2021,Mexico,1062,2357524,199,230382
28/04/2021,Mexico,3872,2361396,208,230590
29/04/2021,Mexico,3404,2364800,193,230783
30/04/2021,Mexico,3092,2367892,193,230976
01/05/2021,Mexico,2927,2370819,207,231183
02/05/2021,Mexico,2677,2373496,154,231337
03/05/2021,Mexico,999,2374495,173,231510
04/05/2021,Mexico,951,2375446,187,231697
05/05/2021,Mexico,3411,2378857,164,231861
06/05/2021,Mexico,2883,2381740,149,232010
07/05/2021,Mexico,2549,2384289,170,232180
08/05/2021,Mexico,2750,2387039,149,232329
09/05/2021,Mexico,2451,2389490,131,232460
10/05/2021,Mexico,1274,2390764,126,232586
11/05/2021,Mexico,782,2391546,148,232734
12/05/2021,Mexico,1723,2393269,161,232895
13/05/2021,Mexico,3109,2396378,121,233016
14/05/2021,Mexico,2580,2398958,131,233147
15/05/2021,Mexico,2309,2401267,108,233255
16/05/2021,Mexico,2428,2403695,128,233383
17/05/2021,Mexico,1207,2404902,103,233486
18/05/2021,Mexico,763,2405665,119,233605
19/05/2021,Mexico,2821,2408486,128,233733
20/05/2021,Mexico,2515,2411001,127,233860
21/05/2021,Mexico,2418,2413419,115,233975
22/05/2021,Mexico,2343,2415762,103,234078
23/05/2021,Mexico,2312,2418074,99,234177
24/05/2021,Mexico,1150,2419224,84,234261
25/05/2021,Mexico,801,2420025,120,234381
26/05/2021,Mexico,2895,2422920,107,234488
27/05/2021,Mexico,2644,2425564,109,234597
28/05/2021,Mexico,2576,2428140,93,234690
29/05/2021,Mexico,2472,2430612,101,234791
30/05/2021,Mexico,2440,2433052,99,234890
31/05/2021,Mexico,1143,2434195,92,234982
01/06/2021,Mexico,932,2435127,93,235075
